id,成交日期,成交年月_民國,成交年月_西元,樓層,總樓層,單價_萬每坪_不含車位,原始單價_萬每坪_含車位,房屋總價_萬_不含車位,車位總價_萬,成交總價_萬_含車位,房屋坪數_坪_不含車位,車位坪數_坪,總坪數_坪_含車位,車位數,車位類型,房型,特殊交易,特殊交易說明,樓層標籤,地址,建案名稱,來源網址
9152085,2026-04-20,115-04,2026-04,8,23,54.8,51.9,3640,200,3840,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7523983,2026-03-31,115-03,2026-03,13,23,58.0,53.4,4370,460,4830,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7398141,2026-03-08,115-03,2026-03,12,23,54.2,51.2,3598,190,3788,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356443,2026-02-09,115-02,2026-02,21,23,54.5,52.0,3740,220,3960,68.6,7.6,76.2,1,平面車位,0房0廳,是,親友、員工、共有人或其他特殊關係間之交易；,高樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356447,2026-02-07,115-02,2026-02,21,23,54.7,52.1,3633,220,3853,66.4,7.6,74.0,1,平面車位,0房0廳,是,親友、員工、共有人或其他特殊關係間之交易；,高樓層、平面車位、特殊交易,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
7356445,2026-02-07,115-02,2026-02,7,23,54.1,51.3,3595,200,3795,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6968960,2025-05-07,114-05,2025-05,16,23,55.7,51.1,4200,420,4620,75.3,15.1,90.4,2,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6938798,2025-04-02,114-04,2025-04,11,23,54.3,51.3,3608,190,3798,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6927389,2025-03-21,114-03,2025-03,3,23,53.0,50.1,3518,190,3708,66.4,7.6,74.0,1,平面車位,0房0廳,否,,低樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
6908053,2025-03-05,114-03,2025-03,16,23,53.8,50.8,3571,190,3761,66.4,7.6,74.0,1,平面車位,0房0廳,否,,中樓層、平面車位,桃園市桃園區正光路與力行路交叉口,京懋泰閤,https://market.591.com.tw/5886292/price?guide=1&trans_type=2
